# ColVar Mean_PMF Std_PMF
4.1500e+01 2.0981e+01 4.3588e-01
4.2500e+01 2.0981e+01 4.3588e-01
4.3500e+01 2.0981e+01 4.3588e-01
4.4500e+01 2.0981e+01 4.3588e-01
4.5500e+01 2.0981e+01 4.3588e-01
4.6500e+01 2.0981e+01 4.3588e-01
4.7500e+01 2.0981e+01 4.3588e-01
4.8500e+01 2.0981e+01 4.3588e-01
4.9500e+01 2.0981e+01 4.3588e-01
5.0500e+01 2.0981e+01 4.3588e-01
5.1500e+01 2.0981e+01 4.3588e-01
5.2500e+01 2.0981e+01 4.3588e-01
5.3500e+01 2.0981e+01 4.3588e-01
5.4500e+01 2.0981e+01 4.3588e-01
5.5500e+01 2.0981e+01 4.3588e-01
5.6500e+01 2.0981e+01 4.3588e-01
5.7500e+01 2.0981e+01 4.3588e-01
5.8500e+01 2.0981e+01 4.3588e-01
5.9500e+01 2.0981e+01 4.3588e-01
6.0500e+01 2.0981e+01 4.3588e-01
6.1500e+01 2.0981e+01 4.3588e-01
6.2500e+01 2.0981e+01 4.3588e-01
6.3500e+01 2.0981e+01 4.3588e-01
6.4500e+01 2.0981e+01 4.3588e-01
6.5500e+01 2.0981e+01 4.3588e-01
6.6500e+01 2.0981e+01 4.3588e-01
6.7500e+01 2.0981e+01 4.3588e-01
6.8500e+01 2.0981e+01 4.3588e-01
6.9500e+01 2.0981e+01 4.3588e-01
7.0500e+01 2.0981e+01 4.3588e-01
7.1500e+01 2.0981e+01 4.3588e-01
7.2500e+01 2.0981e+01 4.3588e-01
7.3500e+01 2.0981e+01 4.3588e-01
7.4500e+01 2.0981e+01 4.3588e-01
7.5500e+01 2.0981e+01 4.3588e-01
7.6500e+01 2.0981e+01 4.3588e-01
7.7500e+01 2.0981e+01 4.3588e-01
7.8500e+01 2.0981e+01 4.3588e-01
7.9500e+01 2.0981e+01 4.3588e-01
8.0500e+01 2.0981e+01 4.3588e-01
8.1500e+01 2.0981e+01 4.3588e-01
8.2500e+01 2.0981e+01 4.3588e-01
8.3500e+01 2.0981e+01 4.3588e-01
8.4500e+01 2.0981e+01 4.3588e-01
8.5500e+01 2.0981e+01 4.3588e-01
8.6500e+01 2.0981e+01 4.3588e-01
8.7500e+01 2.0981e+01 4.3588e-01
8.8500e+01 2.0981e+01 4.3588e-01
8.9500e+01 2.0981e+01 4.3588e-01
9.0500e+01 2.0981e+01 4.3588e-01
9.1500e+01 2.0981e+01 4.3588e-01
9.2500e+01 2.0981e+01 4.3588e-01
9.3500e+01 2.0981e+01 4.3588e-01
9.4500e+01 2.0981e+01 4.3588e-01
9.5500e+01 2.0981e+01 4.3615e-01
9.6500e+01 2.0841e+01 5.7002e-01
9.7500e+01 1.9231e+01 3.6256e+00
9.8500e+01 1.8587e+01 4.7804e+00
9.9500e+01 1.6229e+01 5.2377e+00
1.0050e+02 1.2678e+01 6.3868e+00
1.0150e+02 8.9413e+00 5.4826e+00
1.0250e+02 5.6837e+00 3.3136e+00
1.0350e+02 4.2764e+00 2.9411e+00
1.0450e+02 2.6730e+00 2.5042e+00
1.0550e+02 1.3541e+00 1.2169e+00
1.0650e+02 8.3143e-01 7.1837e-01
1.0750e+02 4.8449e-01 2.6745e-01
1.0850e+02 5.3177e-01 6.2371e-01
1.0950e+02 1.1041e+00 8.2789e-01
1.1050e+02 2.2393e+00 1.6731e+00
1.1150e+02 3.4418e+00 1.9331e+00
1.1250e+02 4.3476e+00 2.0491e+00
1.1350e+02 5.5840e+00 2.3321e+00
1.1450e+02 7.5631e+00 2.5703e+00
1.1550e+02 7.6417e+00 1.5437e+00
1.1650e+02 8.8279e+00 1.2476e+00
1.1750e+02 9.9441e+00 9.6353e-01
1.1850e+02 9.9987e+00 1.0193e+00
1.1950e+02 1.1009e+01 1.2294e+00
1.2050e+02 1.0400e+01 1.2342e+00
1.2150e+02 1.0988e+01 1.7314e+00
1.2250e+02 1.1182e+01 1.2467e+00
1.2350e+02 1.1331e+01 1.5514e+00
1.2450e+02 1.1272e+01 4.3649e-01
1.2550e+02 1.0938e+01 9.4549e-01
1.2650e+02 1.0912e+01 1.1079e+00
1.2750e+02 1.1701e+01 6.9483e-01
1.2850e+02 1.1513e+01 1.4100e+00
1.2950e+02 1.1320e+01 7.9525e-01
1.3050e+02 1.2451e+01 8.7040e-01
