# timeSteps mean_CV Std_CV
2.0700e+07 1.5128e+00 3.2289e-02
2.0800e+07 1.5140e+00 3.2276e-02
2.0900e+07 1.5144e+00 3.3160e-02
2.1000e+07 1.5122e+00 3.2400e-02
2.1100e+07 1.5136e+00 3.2564e-02
2.1200e+07 1.5106e+00 3.2385e-02
2.1300e+07 1.5114e+00 3.2251e-02
2.1400e+07 1.5119e+00 3.1600e-02
2.1500e+07 1.5129e+00 3.2697e-02
2.1600e+07 1.5108e+00 3.2687e-02
2.1700e+07 1.5105e+00 3.2070e-02
2.1800e+07 1.5099e+00 3.1921e-02
2.1900e+07 1.5087e+00 3.2301e-02
2.2000e+07 1.5081e+00 3.1258e-02
2.2100e+07 1.5079e+00 3.1298e-02
2.2200e+07 1.5091e+00 3.2839e-02
2.2300e+07 1.5087e+00 3.1623e-02
2.2400e+07 1.5088e+00 3.1491e-02
2.2500e+07 1.5108e+00 3.0134e-02
2.2600e+07 1.5109e+00 3.2999e-02
2.2700e+07 1.5081e+00 3.4110e-02
2.2800e+07 1.5106e+00 3.4062e-02
2.2900e+07 1.5095e+00 3.5633e-02
2.3000e+07 1.5084e+00 3.4996e-02
2.3100e+07 1.5095e+00 3.5844e-02
2.3200e+07 1.5091e+00 3.6157e-02
2.3300e+07 1.5048e+00 3.8509e-02
2.3400e+07 1.5042e+00 3.9894e-02
2.3500e+07 1.5051e+00 3.7830e-02
2.3600e+07 1.5051e+00 3.6758e-02
2.3700e+07 1.5058e+00 3.8674e-02
2.3800e+07 1.5060e+00 3.5781e-02
2.3900e+07 1.5057e+00 3.6003e-02
2.4000e+07 1.5043e+00 3.6689e-02
2.4100e+07 1.5042e+00 3.6674e-02
2.4200e+07 1.5050e+00 3.6106e-02
2.4300e+07 1.5049e+00 3.4905e-02
2.4400e+07 1.5049e+00 3.4228e-02
2.4500e+07 1.5049e+00 3.5130e-02
2.4600e+07 1.5065e+00 3.5762e-02
2.4700e+07 1.5055e+00 3.6252e-02
2.4800e+07 1.5043e+00 3.6909e-02
2.4900e+07 1.5009e+00 3.8104e-02
2.5000e+07 1.4998e+00 3.8974e-02
2.5100e+07 1.4984e+00 3.8060e-02
2.5200e+07 1.4989e+00 4.0583e-02
2.5300e+07 1.4978e+00 4.0230e-02
2.5400e+07 1.4991e+00 3.8126e-02
2.5500e+07 1.5005e+00 3.7854e-02
2.5600e+07 1.5004e+00 3.7683e-02
2.5700e+07 1.5011e+00 3.6601e-02
2.5800e+07 1.5000e+00 3.5371e-02
2.5900e+07 1.5026e+00 3.4002e-02
2.6000e+07 1.5016e+00 3.4670e-02
2.6100e+07 1.5021e+00 3.5116e-02
2.6200e+07 1.5015e+00 3.2644e-02
2.6300e+07 1.5030e+00 3.3293e-02
2.6400e+07 1.5026e+00 3.1587e-02
2.6500e+07 1.4992e+00 3.2427e-02
2.6600e+07 1.5001e+00 3.2113e-02
2.6700e+07 1.4998e+00 3.3631e-02
2.6800e+07 1.4992e+00 3.5578e-02
2.6900e+07 1.5006e+00 3.5778e-02
2.7000e+07 1.5010e+00 3.8476e-02
2.7100e+07 1.4984e+00 3.7692e-02
2.7200e+07 1.4994e+00 3.7122e-02
2.7300e+07 1.4977e+00 3.7945e-02
2.7400e+07 1.4977e+00 3.7354e-02
2.7500e+07 1.4957e+00 3.5831e-02
2.7600e+07 1.4944e+00 3.6918e-02
2.7700e+07 1.4951e+00 3.6660e-02
2.7800e+07 1.4942e+00 3.9114e-02
2.7900e+07 1.4956e+00 3.8515e-02
2.8000e+07 1.4950e+00 3.8393e-02
2.8100e+07 1.4960e+00 4.1026e-02
2.8200e+07 1.4984e+00 4.1575e-02
2.8300e+07 1.4986e+00 4.3773e-02
2.8400e+07 1.4971e+00 4.3375e-02
2.8500e+07 1.4969e+00 4.5275e-02
2.8600e+07 1.4982e+00 4.6333e-02
2.8700e+07 1.5001e+00 4.4585e-02
2.8800e+07 1.4999e+00 4.4518e-02
2.8900e+07 1.4989e+00 4.3130e-02
2.9000e+07 1.4982e+00 4.4829e-02
2.9100e+07 1.5004e+00 4.3458e-02
2.9200e+07 1.4982e+00 4.4741e-02
2.9300e+07 1.4977e+00 4.6055e-02
2.9400e+07 1.4938e+00 4.4903e-02
2.9500e+07 1.4937e+00 4.5466e-02
2.9600e+07 1.4948e+00 4.2345e-02
2.9700e+07 1.4914e+00 4.2127e-02
2.9800e+07 1.4928e+00 4.3190e-02
2.9900e+07 1.4961e+00 4.4197e-02
3.0000e+07 1.4958e+00 4.3524e-02
3.0100e+07 1.4966e+00 4.3930e-02
3.0200e+07 1.4973e+00 4.4800e-02
3.0300e+07 1.4959e+00 4.3228e-02
3.0400e+07 1.4966e+00 4.2674e-02
3.0500e+07 1.4965e+00 4.0784e-02
3.0600e+07 1.4947e+00 4.3348e-02
3.0700e+07 1.4966e+00 4.0985e-02
3.0800e+07 1.4961e+00 4.2289e-02
3.0900e+07 1.4946e+00 4.2264e-02
3.1000e+07 1.4949e+00 4.1067e-02
3.1100e+07 1.4926e+00 3.9684e-02
3.1200e+07 1.4936e+00 4.0386e-02
3.1300e+07 1.4912e+00 3.8943e-02
3.1400e+07 1.4904e+00 3.9441e-02
3.1500e+07 1.4946e+00 4.1354e-02
3.1600e+07 1.4903e+00 4.2323e-02
3.1700e+07 1.4925e+00 4.3625e-02
3.1800e+07 1.4906e+00 4.2870e-02
3.1900e+07 1.4894e+00 4.5495e-02
3.2000e+07 1.4886e+00 4.1499e-02
3.2100e+07 1.4882e+00 4.1194e-02
3.2200e+07 1.4901e+00 4.1711e-02
3.2300e+07 1.4872e+00 4.1269e-02
3.2400e+07 1.4852e+00 4.2010e-02
3.2500e+07 1.4855e+00 4.5592e-02
3.2600e+07 1.4820e+00 4.6699e-02
3.2700e+07 1.4818e+00 4.6477e-02
3.2800e+07 1.4861e+00 4.6163e-02
3.2900e+07 1.4837e+00 4.5641e-02
3.3000e+07 1.4867e+00 4.4887e-02
3.3100e+07 1.4857e+00 4.4794e-02
3.3200e+07 1.4883e+00 4.7721e-02
3.3300e+07 1.4869e+00 4.8019e-02
3.3400e+07 1.4881e+00 4.6337e-02
3.3500e+07 1.4877e+00 4.7663e-02
3.3600e+07 1.4894e+00 4.6821e-02
3.3700e+07 1.4873e+00 4.5154e-02
3.3800e+07 1.4872e+00 4.6039e-02
3.3900e+07 1.4859e+00 4.6730e-02
3.4000e+07 1.4863e+00 4.6241e-02
3.4100e+07 1.4894e+00 4.8242e-02
3.4200e+07 1.4875e+00 4.6630e-02
3.4300e+07 1.4880e+00 4.7542e-02
3.4400e+07 1.4875e+00 4.7152e-02
3.4500e+07 1.4871e+00 4.6212e-02
3.4600e+07 1.4858e+00 4.7235e-02
3.4700e+07 1.4862e+00 4.7463e-02
3.4800e+07 1.4863e+00 4.7410e-02
3.4900e+07 1.4843e+00 4.8302e-02
3.5000e+07 1.4857e+00 4.9626e-02
3.5100e+07 1.4817e+00 4.6718e-02
3.5200e+07 1.4841e+00 4.8431e-02
3.5300e+07 1.4847e+00 4.8127e-02
3.5400e+07 1.4860e+00 4.8720e-02
3.5500e+07 1.4872e+00 4.8047e-02
3.5600e+07 1.4884e+00 4.8388e-02
3.5700e+07 1.4860e+00 4.6471e-02
3.5800e+07 1.4866e+00 4.6451e-02
3.5900e+07 1.4824e+00 4.9126e-02
3.6000e+07 1.4828e+00 5.1906e-02
3.6100e+07 1.4823e+00 5.0474e-02
3.6200e+07 1.4833e+00 4.9574e-02
3.6300e+07 1.4832e+00 5.0997e-02
3.6400e+07 1.4826e+00 4.9703e-02
3.6500e+07 1.4805e+00 4.9200e-02
3.6600e+07 1.4824e+00 4.7154e-02
3.6700e+07 1.4835e+00 4.7451e-02
3.6800e+07 1.4846e+00 4.6822e-02
3.6900e+07 1.4820e+00 4.7795e-02
3.7000e+07 1.4824e+00 4.5545e-02
3.7100e+07 1.4825e+00 4.5557e-02
3.7200e+07 1.4849e+00 4.3613e-02
3.7300e+07 1.4838e+00 4.4026e-02
3.7400e+07 1.4821e+00 4.5745e-02
3.7500e+07 1.4822e+00 4.5185e-02
3.7600e+07 1.4840e+00 4.4340e-02
3.7700e+07 1.4824e+00 4.3175e-02
3.7800e+07 1.4819e+00 4.3625e-02
3.7900e+07 1.4820e+00 4.4421e-02
3.8000e+07 1.4810e+00 4.7095e-02
3.8100e+07 1.4798e+00 4.6947e-02
3.8200e+07 1.4756e+00 4.7212e-02
3.8300e+07 1.4762e+00 4.9062e-02
3.8400e+07 1.4790e+00 4.9757e-02
3.8500e+07 1.4774e+00 5.0583e-02
3.8600e+07 1.4758e+00 5.1753e-02
3.8700e+07 1.4756e+00 5.3880e-02
3.8800e+07 1.4759e+00 5.5940e-02
3.8900e+07 1.4734e+00 5.6273e-02
3.9000e+07 1.4770e+00 5.6865e-02
3.9100e+07 1.4783e+00 5.5668e-02
3.9200e+07 1.4774e+00 5.4614e-02
3.9300e+07 1.4776e+00 5.4514e-02
3.9400e+07 1.4790e+00 5.6265e-02
3.9500e+07 1.4793e+00 5.7099e-02
3.9600e+07 1.4792e+00 5.7411e-02
3.9700e+07 1.4792e+00 5.7884e-02
3.9800e+07 1.4790e+00 5.6284e-02
3.9900e+07 1.4788e+00 5.4256e-02
4.0000e+07 1.4764e+00 5.7210e-02
4.0100e+07 1.4756e+00 5.6682e-02
4.0200e+07 1.4742e+00 5.4935e-02
4.0300e+07 1.4773e+00 5.5272e-02
4.0400e+07 1.4779e+00 5.6048e-02
4.0500e+07 1.4776e+00 5.3875e-02
4.0600e+07 1.4783e+00 5.5265e-02
4.0700e+07 1.4787e+00 5.3519e-02
4.0800e+07 1.4763e+00 5.5343e-02
4.0900e+07 1.4770e+00 5.5844e-02
4.1000e+07 1.4768e+00 5.4900e-02
4.1100e+07 1.4778e+00 5.6226e-02
4.1200e+07 1.4764e+00 5.4183e-02
4.1300e+07 1.4764e+00 5.3437e-02
4.1400e+07 1.4760e+00 5.2527e-02
4.1500e+07 1.4776e+00 5.4396e-02
4.1600e+07 1.4762e+00 5.2485e-02
4.1700e+07 1.4755e+00 5.3842e-02
4.1800e+07 1.4774e+00 5.4444e-02
4.1900e+07 1.4753e+00 5.0672e-02
4.2000e+07 1.4761e+00 5.2982e-02
4.2100e+07 1.4758e+00 5.5416e-02
4.2200e+07 1.4772e+00 5.8421e-02
4.2300e+07 1.4761e+00 5.9928e-02
4.2400e+07 1.4749e+00 6.0487e-02
4.2500e+07 1.4746e+00 6.0158e-02
4.2600e+07 1.4728e+00 6.3479e-02
4.2700e+07 1.4710e+00 6.5740e-02
4.2800e+07 1.4687e+00 6.4655e-02
4.2900e+07 1.4675e+00 6.7110e-02
4.3000e+07 1.4672e+00 6.7970e-02
4.3100e+07 1.4655e+00 6.9469e-02
4.3200e+07 1.4662e+00 6.6580e-02
4.3300e+07 1.4668e+00 6.4524e-02
4.3400e+07 1.4656e+00 6.3658e-02
4.3500e+07 1.4650e+00 6.2474e-02
4.3600e+07 1.4629e+00 6.4853e-02
4.3700e+07 1.4630e+00 6.6789e-02
4.3800e+07 1.4639e+00 6.6847e-02
4.3900e+07 1.4645e+00 6.7265e-02
4.4000e+07 1.4625e+00 6.8714e-02
4.4100e+07 1.4621e+00 6.7309e-02
