# Dist_from_COM	Sticker_Saturation
7.7495e+01 1.0000e+00
1.0286e+02 1.0000e+00
1.1815e+02 1.0000e+00
1.1579e+02 8.0000e-01
1.0301e+02 8.0000e-01
1.2466e+02 1.0000e+00
8.8967e+01 1.0000e+00
8.2647e+01 8.0000e-01
9.0542e+01 1.0000e+00
1.1451e+02 1.0000e+00
1.3157e+02 1.0000e+00
1.1739e+02 1.0000e+00
1.0713e+02 1.0000e+00
1.0242e+02 1.0000e+00
1.0971e+02 1.0000e+00
1.1228e+02 8.0000e-01
1.1683e+02 1.0000e+00
1.2400e+02 8.0000e-01
1.0632e+02 8.0000e-01
1.0998e+02 1.0000e+00
1.3426e+02 1.0000e+00
1.1801e+02 1.0000e+00
1.1143e+02 1.0000e+00
1.0778e+02 1.0000e+00
1.2881e+02 1.0000e+00
1.4749e+02 1.0000e+00
1.2103e+02 1.0000e+00
1.4813e+02 1.0000e+00
1.3157e+02 1.0000e+00
1.0872e+02 1.0000e+00
8.8839e+01 8.0000e-01
1.3160e+02 1.0000e+00
8.5262e+01 1.0000e+00
1.0826e+02 1.0000e+00
1.3202e+02 1.0000e+00
1.0551e+02 1.0000e+00
1.2130e+02 1.0000e+00
1.4427e+02 1.0000e+00
9.3562e+01 1.0000e+00
1.4776e+02 1.0000e+00
1.3350e+02 1.0000e+00
1.1835e+02 1.0000e+00
1.0264e+02 1.0000e+00
8.6434e+01 1.0000e+00
9.5717e+01 1.0000e+00
9.4548e+01 1.0000e+00
7.7957e+01 1.0000e+00
8.9086e+01 1.0000e+00
1.0876e+02 1.0000e+00
1.2362e+02 1.0000e+00
9.8954e+01 8.0000e-01
9.1946e+01 1.0000e+00
7.3849e+01 1.0000e+00
8.5382e+01 1.0000e+00
6.7459e+01 1.0000e+00
6.5082e+01 1.0000e+00
9.9106e+01 1.0000e+00
7.8468e+01 1.0000e+00
6.3767e+01 8.0000e-01
6.2900e+01 1.0000e+00
6.1060e+01 1.0000e+00
1.4748e+02 1.0000e+00
1.3561e+02 1.0000e+00
1.2592e+02 8.0000e-01
7.3057e+01 8.0000e-01
6.3149e+01 1.0000e+00
5.7887e+01 1.0000e+00
6.7373e+01 1.0000e+00
5.2281e+01 1.0000e+00
4.6716e+01 1.0000e+00
1.0693e+02 8.0000e-01
1.0968e+02 8.0000e-01
6.4518e+01 1.0000e+00
7.6529e+01 1.0000e+00
1.0662e+02 1.0000e+00
4.2348e+01 1.0000e+00
6.5160e+01 1.0000e+00
4.5157e+01 1.0000e+00
7.5822e+01 1.0000e+00
1.1905e+02 1.0000e+00
1.2291e+02 1.0000e+00
6.6749e+01 1.0000e+00
1.9948e+01 1.0000e+00
1.0515e+02 1.0000e+00
1.2303e+02 1.0000e+00
1.0617e+02 1.0000e+00
1.4614e+02 1.0000e+00
1.4856e+02 1.0000e+00
1.1130e+02 1.0000e+00
5.5090e+01 1.0000e+00
9.9992e+01 1.0000e+00
1.1736e+02 1.0000e+00
7.2077e+01 1.0000e+00
1.0593e+02 8.0000e-01
1.1656e+02 1.0000e+00
1.3807e+02 1.0000e+00
1.1518e+02 1.0000e+00
7.6757e+01 1.0000e+00
1.0418e+02 1.0000e+00
8.6076e+01 1.0000e+00
1.0988e+02 8.0000e-01
9.9721e+01 1.0000e+00
1.0889e+02 1.0000e+00
9.2380e+01 1.0000e+00
1.3423e+02 1.0000e+00
1.0467e+02 1.0000e+00
3.4560e+01 1.0000e+00
5.6388e+01 1.0000e+00
7.2746e+01 1.0000e+00
5.5346e+01 1.0000e+00
7.6086e+01 1.0000e+00
9.8940e+01 1.0000e+00
1.1426e+02 8.0000e-01
1.1545e+02 1.0000e+00
1.2146e+02 1.0000e+00
1.2359e+02 1.0000e+00
1.1335e+02 1.0000e+00
1.0662e+02 1.0000e+00
8.9400e+01 1.0000e+00
7.7526e+01 1.0000e+00
9.9088e+01 8.0000e-01
7.5313e+01 1.0000e+00
1.1335e+02 1.0000e+00
1.0424e+02 1.0000e+00
1.2003e+02 1.0000e+00
8.1094e+01 1.0000e+00
8.4218e+01 1.0000e+00
9.6008e+01 1.0000e+00
5.3400e+01 8.0000e-01
1.3296e+02 1.0000e+00
1.3462e+02 1.0000e+00
7.0481e+01 1.0000e+00
1.4086e+02 1.0000e+00
9.3251e+01 1.0000e+00
8.6292e+01 8.0000e-01
8.6680e+01 1.0000e+00
1.0311e+02 1.0000e+00
1.0237e+02 1.0000e+00
1.1367e+02 1.0000e+00
3.8452e+01 1.0000e+00
8.3496e+01 1.0000e+00
9.0609e+01 8.0000e-01
9.6247e+01 1.0000e+00
7.6624e+01 1.0000e+00
1.0428e+02 1.0000e+00
6.1900e+01 8.0000e-01
9.2585e+01 8.0000e-01
6.2523e+01 1.0000e+00
9.8281e+01 6.0000e-01
1.1908e+02 1.0000e+00
5.5737e+01 1.0000e+00
7.0538e+01 1.0000e+00
1.2646e+02 8.0000e-01
1.0205e+02 1.0000e+00
7.4527e+01 1.0000e+00
9.2782e+01 1.0000e+00
1.1628e+02 1.0000e+00
1.1715e+02 1.0000e+00
8.6618e+01 1.0000e+00
5.9533e+01 1.0000e+00
6.7198e+01 1.0000e+00
1.0668e+02 1.0000e+00
1.0779e+02 1.0000e+00
1.3156e+02 1.0000e+00
1.2570e+02 1.0000e+00
1.1517e+02 1.0000e+00
6.5063e+01 1.0000e+00
8.5235e+01 1.0000e+00
9.8311e+01 1.0000e+00
1.1311e+02 1.0000e+00
1.0956e+02 1.0000e+00
1.3972e+02 1.0000e+00
7.8215e+01 1.0000e+00
5.5756e+01 8.0000e-01
9.3571e+01 1.0000e+00
1.2637e+02 1.0000e+00
8.7714e+01 1.0000e+00
9.5221e+01 8.0000e-01
